STATUS;ORBITAL_PERIOD_DAYS;TRANSIT_DURATION_HOURS;TRANSIT_DEPTH_PPM;PLANET_RADIUS_REARTH;PLANET_INSOLATION_EFLUX;PLANET_EQ_TEMP_K;STELLAR_TEFF_K;STELLAR_LOGG_CMS2;STELLAR_RADIUS_RSUN
CONFIRMED;11.59822233;2.5237;2804.5;2.65;5.82;396.0;3688.0;4.79;0.473
CONFIRMED;6.575315881;4.3084;2793.3;5.31;251.38;1015.0;5992.0;4.415;0.989
CONFIRMED;7.275040844;7.5377;3001.0;4.86;113.64;833.0;5485.0;4.556;0.867
CONFIRMED;19.27153892;2.7594;1219.8;1.93;5.66;393.0;4077.0;4.702;0.56
CONFIRMED;10.06524317;1.369;1053.3;1.91;13.43;488.0;4077.0;4.702;0.56
CONFIRMED;12.3935651;3.8896;916.6;2.66;49.68;677.0;5557.0;4.603;0.75
CONFIRMED;43.84439721;6.802;615.2;2.87;18.77;531.0;5854.0;4.406;1.012
FALSE POSITIVE;3.341913228;3.813;725.3;21.55;268.67;1032.0;5295.0;4.551;0.811
FALSE POSITIVE;1.626630225;2.1145;1620.6;32.43;1355.88;1547.0;5735.0;4.41;0.973
CONFIRMED;2.711504086;3.0099;837.5;3.12;960.79;1420.0;6214.0;4.442;1.076
CONFIRMED;7.21203748;4.0491;950.4;3.32;260.58;1025.0;6214.0;4.442;1.076
FALSE POSITIVE;14.1798187;2.505;459.9;1.88;60.35;711.0;5799.0;4.539;0.878
CONFIRMED;8.47237911;2.7245;1123.5;2.59;75.44;751.0;5354.0;4.587;0.788
CONFIRMED;60.4189369;5.039;931.3;2.36;5.49;390.0;5354.0;4.587;0.788
CONFIRMED;12.611904345;5.1497;6105.6;7.4;76.15;753.0;5795.0;4.508;0.919
FALSE POSITIVE;1.433769925;1.8868;1976.3;46.58;3209.29;1920.0;6017.0;4.22;1.339
FALSE POSITIVE;10.31872301;3.836;871.7;28.59;139.26;876.0;5927.0;4.409;1.06
CONFIRMED;2.539183147;2.4282;382.1;2.06;743.09;1332.0;5519.0;4.35;1.062
CONFIRMED;6.770300385;2.0844;1304.0;2.77;102.87;812.0;5653.0;4.656;0.679
FALSE POSITIVE;0.444291966;2.0792;10967.0;27.51;2706.26;1836.0;5255.0;4.678;0.636
CANDIDATE;10.181584004;3.5089;5741.1;7.73;102.91;812.0;5988.0;4.541;0.836
CONFIRMED;20.06036336;3.3203;1494.7;1.96;4.0;361.0;3950.0;4.754;0.493
CONFIRMED;46.1842039;4.758;1394.7;1.83;1.32;273.0;3950.0;4.754;0.493
CONFIRMED;23.9800854;5.351;104.0;1.31;41.94;649.0;5854.0;4.406;1.012
CONFIRMED;7.82502168;2.186;520.8;1.2;14.05;494.0;3950.0;4.754;0.493
CONFIRMED;3.895936525;2.3111;8544.8;7.34;241.62;1005.0;5557.0;4.592;0.774
CONFIRMED;22.36646466;5.228;986.8;2.32;19.45;536.0;5395.0;4.615;0.734
CONFIRMED;1.625522174;2.38963;7969.0;9.73;1467.41;1579.0;5539.0;4.322;1.106
CANDIDATE;19.620346923;2.0038;21725.0;13.6;40.39;643.0;5710.0;4.492;0.905
FALSE POSITIVE;7.544039;6.222;322.6;17.47;116.46;838.0;5657.0;4.567;0.824
CONFIRMED;9.02930689;3.1449;1019.8;2.57;77.75;757.0;5349.0;4.526;0.82
FALSE POSITIVE;10.328035714;7.7915;16918.0;13.28;119.31;843.0;5627.0;4.359;1.024
CONFIRMED;143.2063047;8.9302;10566.0;8.9;2.14;308.0;5485.0;4.556;0.867
CONFIRMED;6.164876;3.262;55.8;0.79;256.35;1021.0;5854.0;4.406;1.012
CONFIRMED;60.32494216;6.6188;20280.0;12.19;6.77;411.0;5485.0;4.556;0.867
CONFIRMED;29.1598615;4.803;488.0;1.91;17.85;524.0;5485.0;4.556;0.867
FALSE POSITIVE;1.540397253;2.1541;816.1;25.69;1105.68;1470.0;5663.0;4.53;0.915
FALSE POSITIVE;2.99025443;5.414;589.2;1.7;168.45;918.0;4667.0;4.578;0.731
CONFIRMED;1.594745374;1.9604;15044.0;11.3;1329.42;1539.0;5934.0;4.491;0.893
CONFIRMED;4.783002698;2.335;1008.7;2.5;145.48;886.0;5170.0;4.574;0.807
CONFIRMED;20.50588921;4.0595;2105.5;3.41;17.06;518.0;4905.0;4.544;0.761
CONFIRMED;3.340218842;1.9104;1632.6;2.03;43.73;656.0;3950.0;4.754;0.493
FALSE POSITIVE;2.507089906;2.0067;1339.2;30.26;730.47;1326.0;5926.0;4.506;0.939
CONFIRMED;18.64932728;4.4056;893.6;3.12;57.13;701.0;5775.0;4.405;1.053
CONFIRMED;4.90144976;4.1654;140.7;1.7;598.74;1262.0;5847.0;4.191;1.402
CONFIRMED;9.75192101;4.793;418.0;2.76;135.66;870.0;5775.0;4.405;1.053
CONFIRMED;38.5576546;5.794;993.0;4.02;21.71;550.0;5775.0;4.405;1.053
CONFIRMED;3.525632539;2.59959;22335.0;11.58;213.12;975.0;5150.0;4.572;0.793
CANDIDATE;34.84398644;2.9315;4523.6;7.61;16.1;511.0;5509.0;4.482;0.871
CONFIRMED;7.748094239;3.5957;2472.1;5.52;204.39;964.0;5973.0;4.439;1.085
CONFIRMED;23.96793669;3.827;1182.3;1.8;2.77;329.0;3747.0;4.728;0.524
CONFIRMED;8.29561738;1.3421;824.3;1.82;11.39;469.0;3747.0;4.728;0.524
CONFIRMED;8.11437482;2.2736;1558.0;2.1;10.55;460.0;3692.0;4.753;0.517
FALSE POSITIVE;38.036729482;4.34617;82872.0;27.5;14.81;500.0;5575.0;4.521;0.932
CANDIDATE;4.64090031;35.512;2450.6;30.09;421.08;1155.0;6463.0;4.5;0.826
FALSE POSITIVE;3.747838198;5.0642;616.0;13.65;266.76;1031.0;5514.0;4.569;0.826
CONFIRMED;14.74914825;6.0995;430.2;2.89;137.91;874.0;5847.0;4.191;1.402
CONFIRMED;21.81295996;4.3791;1175.4;3.38;39.33;639.0;5601.0;4.41;0.999
FALSE POSITIVE;7.91936937;3.3148;15148.0;10.34;104.0;814.0;5690.0;4.588;0.776
CANDIDATE;1.028436523;1.8606;8098.0;72.77;3400.48;1947.0;6228.0;4.428;0.99
CONFIRMED;15.37562369;3.3169;15337.0;11.01;30.54;600.0;4986.0;4.496;0.833
CONFIRMED;8.10363271;3.161;887.9;2.11;52.82;687.0;4861.0;4.574;0.732
CONFIRMED;4.71510843;2.506;417.5;1.46;108.84;823.0;4861.0;4.574;0.732
CONFIRMED;6.365839713;2.9721;780.7;2.44;165.33;914.0;5776.0;4.554;0.849
FALSE POSITIVE;5.97581754;3.065;962.4;3.86;284.25;1047.0;6108.0;4.471;0.997
FALSE POSITIVE;2.446737317;4.7211;1177.9;26.25;597.19;1261.0;5764.0;4.548;0.863
CONFIRMED;3.04033046;1.8411;10859.0;8.99;257.29;1021.0;5035.0;4.519;0.791
CONFIRMED;15.33528675;3.897;3081.4;5.0;32.67;610.0;5251.0;4.581;0.817
CONFIRMED;7.95825328;4.377;50.0;1.06;314.15;1074.0;5847.0;4.191;1.402
CONFIRMED;31.33046135;5.176;5073.8;6.5;12.61;481.0;5251.0;4.581;0.817
FALSE POSITIVE;3.9043425;3.831;16228.0;12.28;351.05;1104.0;5810.0;4.526;0.898
FALSE POSITIVE;9.286358079;3.49949;44791.0;17.61;95.03;796.0;5670.0;4.523;0.821
FALSE POSITIVE;3.951405455;2.1862;2453.9;31.44;388.71;1133.0;6046.0;4.539;0.869
CONFIRMED;23.65369415;8.2183;3341.8;7.89;67.65;731.0;5739.0;4.191;1.384
CONFIRMED;13.23352214;6.7372;504.6;3.06;146.67;888.0;5739.0;4.191;1.384
CONFIRMED;6.15560285;4.9843;285.0;2.32;406.94;1146.0;5739.0;4.191;1.384
CONFIRMED;2.090811305;3.388;115.9;1.62;1718.04;1642.0;5739.0;4.191;1.384
CONFIRMED;3.180027898;3.5797;120.3;1.53;1066.86;1458.0;5847.0;4.191;1.402
CONFIRMED;50.4467417;7.159;370.3;2.67;24.64;568.0;5739.0;4.191;1.384
CONFIRMED;11.76307164;2.9076;1037.3;2.35;33.99;616.0;4959.0;4.603;0.756
CONFIRMED;56.2279271;3.57;862.7;2.37;4.22;366.0;4959.0;4.603;0.756
FALSE POSITIVE;2.384052875;3.0918;1268.1;17.06;244.87;1010.0;4794.0;4.58;0.701
CONFIRMED;7.953547;2.6312;875.4;2.25;55.37;696.0;4768.0;4.536;0.779
CONFIRMED;4.14451656;2.3421;391.8;1.48;132.08;864.0;4768.0;4.536;0.779
FALSE POSITIVE;4.859386384;2.2757;6044.3;38.33;364.23;1114.0;6072.0;4.47;0.988
CONFIRMED;10.526294577;2.5211;9768.0;8.24;61.16;713.0;5386.0;4.553;0.793
CONFIRMED;4.583520948;2.7055;3812.1;5.39;274.98;1038.0;5815.0;4.54;0.877
CONFIRMED;3.76181843;3.5176;510.6;2.66;372.62;1121.0;5653.0;4.472;0.949
CONFIRMED;8.20396958;2.9667;1024.4;3.01;71.5;742.0;5015.0;4.499;0.826
CONFIRMED;14.49645186;4.016;647.5;3.01;33.48;613.0;5015.0;4.499;0.826
CONFIRMED;6.54626149;2.75;655.9;2.19;101.78;810.0;5251.0;4.581;0.817
CONFIRMED;12.71809866;3.0957;1149.4;2.31;23.6;562.0;4702.0;4.592;0.686
CONFIRMED;36.06588163;4.3246;1563.8;2.64;5.88;397.0;4702.0;4.592;0.686
CONFIRMED;4.190425659;2.8589;2877.4;6.21;547.9;1234.0;6073.0;4.392;1.135
CONFIRMED;3.709870784;3.0694;2020.3;4.35;415.1;1151.0;5727.0;4.463;0.978
CONFIRMED;16.3297527;6.271;1187.5;3.75;66.08;727.0;5878.0;4.444;0.987
CONFIRMED;27.807566216;4.21587;25391.0;13.84;22.24;554.0;5862.0;4.584;0.785
CONFIRMED;80.8723469;11.195;3604.6;7.59;9.88;452.0;5510.0;4.222;1.238
FALSE POSITIVE;3.166465862;2.9381;4357.2;26.82;196.31;954.0;4968.0;4.575;0.704
CONFIRMED;24.99324319;5.9409;269.6;2.29;60.88;712.0;5718.0;4.181;1.317
CONFIRMED;10.35533116;3.1775;750.6;2.47;86.22;777.0;5501.0;4.462;0.918
CONFIRMED;16.08518937;3.984;1442.4;3.68;33.43;613.0;5239.0;4.523;0.826
CANDIDATE;235.9986399;8.2284;20715.0;10.59;0.29;188.0;4245.0;4.627;0.657
CONFIRMED;7.49018305;2.7297;1123.6;2.56;76.06;753.0;5103.0;4.562;0.787
CONFIRMED;36.2761238;4.7865;1572.6;3.03;9.29;445.0;5103.0;4.562;0.787
CONFIRMED;17.46087931;2.2641;812.4;2.32;24.6;568.0;5103.0;4.562;0.787
CONFIRMED;56.0560754;4.685;1626.0;1.94;0.69;233.0;3593.0;4.757;0.491
CONFIRMED;41.408316686;5.0264;22839.0;11.38;9.93;453.0;5522.0;4.586;0.747
CANDIDATE;39.74893077;7.3051;15179.0;14.21;21.87;552.0;6122.0;4.487;0.964
CONFIRMED;5.715425977;2.5242;908.1;2.47;123.03;850.0;5237.0;4.572;0.826
CONFIRMED;49.18394185;11.3364;1646.2;8.2;47.4;669.0;5626.0;3.907;2.057
CONFIRMED;20.0261412;1.611;421.2;2.28;23.14;559.0;5237.0;4.572;0.826
CANDIDATE;13.61014819;2.594;5732.9;19.02;68.29;733.0;5697.0;4.46;0.903
FALSE POSITIVE;10.44331991;2.743;1159.8;2.66;46.94;667.0;4947.0;4.516;0.802
CONFIRMED;2.237489571;1.8119;315.8;1.41;427.17;1160.0;5265.0;4.58;0.81
FALSE POSITIVE;5.851520671;3.11058;33004.0;14.62;155.89;901.0;5532.0;4.53;0.806
CONFIRMED;3.167893418;2.1814;781.2;2.62;526.23;1221.0;5895.0;4.503;0.94
CONFIRMED;4.311780262;2.7251;1154.0;3.11;274.84;1038.0;5527.0;4.484;0.927
CONFIRMED;20.0504494;4.556;840.9;2.69;35.44;622.0;5527.0;4.484;0.927
CONFIRMED;9.76734503;1.6585;569.1;2.67;92.46;791.0;5527.0;4.484;0.927
CANDIDATE;119.0207044;8.1405;7430.5;8.98;4.25;366.0;5453.0;4.342;1.062
CONFIRMED;190.3200468;15.284;1141.7;7.78;7.8;426.0;5626.0;3.907;2.057
FALSE POSITIVE;2.861159894;1.8832;1014.3;4.37;797.1;1355.0;6126.0;4.458;1.021
CONFIRMED;26.44439337;3.9783;1843.5;3.91;23.54;562.0;5427.0;4.463;0.929
CONFIRMED;51.53997972;6.3994;3644.3;5.51;9.67;450.0;5427.0;4.463;0.929
CONFIRMED;5.902245782;2.9003;702.3;2.43;173.74;926.0;5427.0;4.463;0.929
CONFIRMED;2.382951591;1.8876;391.6;1.86;583.01;1253.0;5427.0;4.463;0.929
CONFIRMED;21.02250608;4.1072;1772.5;3.07;17.48;521.0;5067.0;4.585;0.75
CONFIRMED;3.219814777;2.0642;488.2;1.69;234.93;998.0;5103.0;4.562;0.787
CONFIRMED;5.912273234;2.3254;961.4;1.73;27.72;585.0;4072.0;4.696;0.57
CONFIRMED;8.98581901;2.8606;881.3;1.65;15.9;509.0;4072.0;4.696;0.57
CANDIDATE;12.940668656;2.4845;42450.0;22.94;64.64;723.0;5875.0;4.572;0.809
FALSE POSITIVE;20.5452375;2.517;218.5;2.41;71.57;742.0;5670.0;4.206;1.264
CONFIRMED;33.60123371;4.4056;7425.9;8.46;14.22;495.0;5149.0;4.447;0.93
CONFIRMED;6.76652928;2.9004;450.7;1.97;120.48;845.0;5149.0;4.447;0.93
CONFIRMED;4.347288783;2.1024;451.6;2.36;449.79;1174.0;5754.0;4.345;1.122
CONFIRMED;4.601811819;2.2607;755.9;2.35;152.91;896.0;4986.0;4.496;0.833
CONFIRMED;11.18719905;3.252;353.6;1.55;46.65;667.0;4986.0;4.496;0.833
CONFIRMED;4.220965778;3.0854;2260.0;2.62;29.68;595.0;3837.0;4.747;0.517
FALSE POSITIVE;6.998099523;2.0488;20285.0;588.66;125.22;853.0;5612.0;4.566;0.829
CONFIRMED;5.95489993;2.3892;1410.7;2.33;38.52;635.0;4261.0;4.641;0.633
CONFIRMED;12.03987488;2.7363;1250.6;2.18;15.06;502.0;4261.0;4.641;0.633
CONFIRMED;20.83762895;2.3734;439.0;1.42;7.24;418.0;4261.0;4.641;0.633
FALSE POSITIVE;8.8111022;5.0683;401.1;63.66;904.92;1399.0;6200.0;3.8;2.404
CONFIRMED;23.58917143;5.073;1200.7;3.16;13.34;487.0;4919.0;4.566;0.721
CONFIRMED;6.481633073;3.784;298.5;2.54;406.25;1145.0;5945.0;4.213;1.302
CONFIRMED;10.37168928;3.035;1254.9;3.2;63.68;720.0;5121.0;4.457;0.888
CONFIRMED;3.96996298;1.1757;299.2;1.78;229.37;992.0;5121.0;4.457;0.888
CONFIRMED;4.40841331;5.012;549.4;2.66;398.0;1139.0;6007.0;4.457;0.961
FALSE POSITIVE;7.9426176;6.703;1590.7;4.68;140.57;878.0;5811.0;4.521;0.926
CONFIRMED;226.8904775;7.558;3136.4;4.53;0.73;236.0;5067.0;4.585;0.75
FALSE POSITIVE;1.956811408;2.1958;24905.0;21.58;357.16;1109.0;5209.0;4.657;0.603
CANDIDATE;2.688899233;2.11275;37492.0;12.04;175.76;929.0;4820.0;4.667;0.639
CONFIRMED;9.439459486;2.8979;3036.1;4.16;52.32;686.0;5097.0;4.597;0.779
CONFIRMED;11.523067458;3.8757;507.3;3.13;174.81;927.0;5644.0;4.162;1.411
CONFIRMED;20.47748843;2.8364;1382.4;2.92;18.65;530.0;5097.0;4.597;0.779
CONFIRMED;3.336123113;1.9616;516.3;1.74;209.79;970.0;5097.0;4.597;0.779
CONFIRMED;8.01078456;2.312;1333.6;1.72;9.9;453.0;3713.0;4.779;0.47
CONFIRMED;12.07134205;4.3224;759.2;1.29;5.74;395.0;3713.0;4.779;0.47
CONFIRMED;20.99587872;2.6333;767.3;1.3;2.74;328.0;3713.0;4.779;0.47
CONFIRMED;7.41113177;2.5242;620.5;2.45;158.11;905.0;5849.0;4.517;0.919
FALSE POSITIVE;1.000747038;0.9967;1823.5;4.14;1635.2;1620.0;5472.0;4.499;0.79
CONFIRMED;8.884922995;2.07004;16053.0;10.51;83.21;770.0;5332.0;4.5;0.843
CONFIRMED;8.09888906;4.20241;6911.1;8.95;223.19;986.0;6214.0;4.442;1.076
CONFIRMED;10.00653012;5.344;936.1;3.52;139.21;876.0;6063.0;4.47;1.001
CONFIRMED;17.855221681;7.41287;9065.2;13.16;163.04;911.0;6823.0;4.308;1.367
CANDIDATE;12.732624065;2.2083;6465.7;4.87;8.22;432.0;3950.0;4.721;0.541
CANDIDATE;83.92494032;6.7904;7958.7;4.78;0.62;226.0;3960.0;4.746;0.509
CONFIRMED;5.007316661;4.2362;6932.3;6.96;234.28;998.0;5865.0;4.563;0.827
CONFIRMED;2.211116989;1.6485;724.2;1.85;177.19;931.0;4500.0;4.656;0.646
CONFIRMED;27.9541337;3.95;942.5;1.9;6.04;400.0;4500.0;4.656;0.646
CONFIRMED;12.69104387;3.7727;252.1;2.57;244.3;1008.0;5869.0;4.024;1.626
FALSE POSITIVE;4.409409243;3.8636;12861.0;10.95;347.06;1101.0;5600.0;4.368;0.975
CONFIRMED;16.23947096;4.0374;2590.7;4.14;30.14;598.0;5191.0;4.564;0.837
CONFIRMED;6.308201629;2.9785;1328.5;2.96;106.44;819.0;5191.0;4.564;0.837
CONFIRMED;2.052349884;2.0778;14281.0;13.12;1183.18;1497.0;5855.0;4.393;1.08
CONFIRMED;9.7704486;2.4517;1897.8;2.23;10.59;460.0;3906.0;4.73;0.509
CONFIRMED;5.169804269;2.153;1037.4;1.66;24.75;569.0;3906.0;4.73;0.509
CONFIRMED;21.22261195;6.5093;366.0;2.48;83.56;771.0;5945.0;4.213;1.302
CONFIRMED;20.09017037;4.154;1432.1;2.25;4.05;362.0;3906.0;4.73;0.509
CONFIRMED;7.11373257;2.1764;807.6;1.16;8.01;429.0;3561.0;4.855;0.411
CONFIRMED;3.306551643;1.8177;509.2;0.91;22.19;554.0;3561.0;4.855;0.411
CONFIRMED;15.36845737;2.4714;756.1;1.11;2.86;332.0;3561.0;4.855;0.411
CONFIRMED;13.81020318;3.048;1309.7;4.56;113.75;833.0;5942.0;4.327;1.142
CONFIRMED;4.093578461;2.5833;538.6;2.85;461.07;1182.0;6077.0;4.471;0.999
CONFIRMED;105.145959;8.593;685.4;3.43;6.09;401.0;6077.0;4.471;0.999
CONFIRMED;10.8484518;2.9993;1675.6;2.34;14.66;499.0;4201.0;4.682;0.591
CONFIRMED;6.66833241;1.915;362.3;1.18;28.06;587.0;4201.0;4.682;0.591
CONFIRMED;4.082274889;3.23015;17859.0;10.55;251.48;1016.0;5655.0;4.581;0.794
CANDIDATE;3.886655224;3.1646;581.6;1.87;246.29;1010.0;5662.0;4.61;0.738
CONFIRMED;42.1406089;5.083;895.5;1.85;3.49;349.0;4500.0;4.656;0.646
CONFIRMED;4.617490562;2.2618;575.8;1.62;66.47;728.0;4500.0;4.656;0.646
CONFIRMED;10.19849255;2.4283;634.1;1.75;23.11;559.0;4500.0;4.656;0.646
FALSE POSITIVE;5.795063956;3.2496;1692.9;4.33;192.74;950.0;5865.0;4.563;0.827
CONFIRMED;7.15681552;2.5882;867.0;2.47;88.23;782.0;5029.0;4.494;0.838
CONFIRMED;17.64830851;2.0873;763.3;2.43;26.49;579.0;5029.0;4.494;0.838
CONFIRMED;4.14810719;2.535;175.2;1.08;182.76;938.0;5029.0;4.494;0.838
CONFIRMED;16.51410989;4.1575;973.5;2.72;43.57;655.0;5527.0;4.488;0.866
CONFIRMED;30.1329298;5.172;1015.8;3.14;19.55;536.0;5527.0;4.488;0.866
CONFIRMED;4.79090809;2.603;251.3;1.36;227.24;990.0;5527.0;4.488;0.866
CONFIRMED;31.71981013;4.819;363.4;3.09;71.97;743.0;5869.0;4.024;1.626
CONFIRMED;99.6415962;4.448;952.5;2.64;3.97;360.0;5527.0;4.488;0.866
CONFIRMED;4.708326451;3.16114;7912.7;10.6;431.02;1162.0;5560.0;4.246;1.21
FALSE POSITIVE;16.37198661;3.8449;4147.6;540.37;8.71;438.0;4187.0;4.656;0.592
CONFIRMED;5.392026903;2.9804;1151.4;2.68;123.33;850.0;5198.0;4.589;0.801
CANDIDATE;2.494170338;1.1221;863.7;2.42;480.19;1194.0;5569.0;4.566;0.829
CONFIRMED;6.491682808;4.301;7163.3;9.66;301.54;1062.0;6123.0;4.413;1.107
FALSE POSITIVE;3.044770796;10.0134;1695.0;24.54;317.36;1076.0;5525.0;4.603;0.753
CONFIRMED;3.855603916;3.2179;16653.0;13.61;508.65;1212.0;6033.0;4.46;1.046
FALSE POSITIVE;3.855599139;3.183;1030.9;3.57;425.74;1158.0;5936.0;4.501;0.965
CONFIRMED;38.47876629;5.04169;23530.0;13.26;13.01;484.0;5510.0;4.539;0.879
FALSE POSITIVE;37.601661282;8.30604;59130.0;27.22;31.86;606.0;6140.0;4.354;1.096
CONFIRMED;3.314947362;1.8007;1398.2;3.94;421.03;1155.0;5609.0;4.481;0.944
FALSE POSITIVE;6.71969089;3.0231;969.7;4.37;194.18;952.0;5931.0;4.479;0.866
