STATUS;ORBITAL_PERIOD_DAYS;TRANSIT_DURATION_HOURS;TRANSIT_DEPTH_PPM;PLANET_RADIUS_REARTH;PLANET_INSOLATION_EFLUX;PLANET_EQ_TEMP_K;STELLAR_TEFF_K;STELLAR_LOGG_CMS2;STELLAR_RADIUS_RSUN
PC;11.1296441;7.0473822;951.6169809;12.8402271;1255.6817164;1518.2372485;5785.0;4.344;3.4475601
PC;9.4496506;2.021;19750.0;17.0216;38.5799;694.0;5509.0;4.39758;0.94
KP;2.8493825;3.567;8049.0;16.3869;2005.83;1864.0;6900.0;4.438;1.77
APC;2.0685633;0.373;502.0;3.89739;24.409;619.0;5687.9;4.6;1.14
FP;0.540933;1.674337;257.347459;2.28501;;;5525.0;4.25342;1.21935
CP;4.1150576;1.08;487.0;2.30057;77.3573;826.0;5394.0;4.50942;0.89
PC;10.0665238;2.4023189;839.9044871;2.7272824;54.8791715;694.1792631;5552.0;4.61783;0.791742
CP;6.4438657;1.9309449;1121.9512275;2.460344;60.831305;712.2812841;4803.0;4.52079;0.737189
CP;12.2265595;2.1904379;1206.3693293;2.6014766;25.8970378;575.3502049;4803.0;4.52079;0.737189
KP;2.160344;1.828854;19357.992992;22.503541;;;5780.0;4.32928;1.2
KP;4.606184;3.121643;13793.034867;12.962219;;;5670.0;4.3925;1.07
KP;3.1316735;2.4579197;14915.6943722;9.4995191;148.6544991;890.5622134;4351.0;4.438;0.76701
KP;3.180362;2.111521;21192.463324;13.446487;;;5498.0;4.47934;0.92
KP;2.9776446;2.962;13022.0;14.4339;758.324;1461.0;5703.0;4.25824;1.22
KP;3.9502008;4.444;13914.0;20.5357;1009.38;1570.0;6153.0;4.18077;1.71
FP;2.9776152;3.25697;43218.111683;26.88423;873.27;1386.5;5740.0;4.29219;1.28
KP;3.5544026;2.0550535;10164.8753396;13.200677;515.0014435;1214.9876435;5639.0;4.37172;1.11499
FP;12.8379689;9.8464123;10539.0192794;25.4886382;374.129;1225.0;5765.0;4.34773;2.4494
CP;3.9228016;1.8736007;31510.9004906;13.3368705;91.167589;788.0973496;4444.0;4.438;0.6983
